Season,Circuit,Driver,Stint,Compound,NLaps,LooRmseLinear,LooRmseQuadratic,QuadraticWins
2022,Netherlands,NOR,4.0,SOFT,12,0.6103619651393725,0.6910118317769686,False
2022,Netherlands,OCO,1.0,SOFT,14,0.16990064469931562,0.20478235089279836,False
2022,Netherlands,OCO,2.0,HARD,30,0.2172338172541466,0.20170113387096797,True
2022,Netherlands,OCO,4.0,SOFT,11,0.2886600474010765,0.340514716813812,False
2022,Netherlands,PER,1.0,SOFT,10,0.2457334897314312,0.27839652614937827,False
2022,Netherlands,PER,2.0,MEDIUM,21,0.2767992030052197,0.2769352402944664,False
2022,Netherlands,PER,5.0,MEDIUM,10,0.3490863848776934,0.36470697789044315,False
2022,Netherlands,RIC,2.0,MEDIUM,12,0.27944540258863015,0.33196165336127,False
2022,Netherlands,RIC,3.0,HARD,13,0.775170354303161,0.7875501893766734,False
2022,Netherlands,RIC,6.0,SOFT,12,0.2846030826541267,0.36366047632367343,False
2022,Netherlands,RUS,1.0,MEDIUM,25,0.2427030191917833,0.2630444931974538,False
2022,Netherlands,RUS,2.0,HARD,11,0.31654621879353334,0.39330473159444734,False
2022,Netherlands,RUS,4.0,SOFT,10,0.3441360844854512,0.5306917565404133,False
2022,Netherlands,SAI,1.0,SOFT,10,0.19674532749021167,0.27314667554769645,False
2022,Netherlands,SAI,2.0,MEDIUM,26,0.3070476238481005,0.30622179450856407,True
2022,Netherlands,SAI,4.0,SOFT,12,0.4272912011726251,0.5641325897821022,False
2022,Netherlands,STR,1.0,SOFT,11,0.2541234448699577,0.33436085904133245,False
2022,Netherlands,STR,2.0,MEDIUM,20,0.12822750981431613,0.1336306658676237,False
2022,Netherlands,STR,5.0,SOFT,12,0.5594602992963185,0.3975800823505857,True
2022,Netherlands,TSU,2.0,MEDIUM,27,0.18714266692429915,0.18702774110925643,True
2022,Netherlands,VER,1.0,SOFT,12,0.0893209201413699,0.11154069100135502,False
2022,Netherlands,VER,2.0,MEDIUM,24,0.24571020100958035,0.2491655329480501,False
2022,Netherlands,VER,5.0,SOFT,11,0.0842474168605745,0.08786058093879141,False
2022,Netherlands,VET,2.0,MEDIUM,21,0.3379473707738388,0.2865035572226653,True
2022,Netherlands,VET,5.0,SOFT,11,0.2992387881631188,0.3434523263670199,False
2022,Netherlands,ZHO,2.0,SOFT,23,0.31095555345267545,0.3067515124379834,True
2022,Netherlands,ZHO,5.0,SOFT,12,0.3238812290603403,0.32839557252455387,False
2022,Spain,ALB,3.0,SOFT,17,0.7748565375004594,0.8090811859826795,False
2022,Spain,ALO,2.0,MEDIUM,16,0.14259457712856735,0.1612336870359933,False
2022,Spain,ALO,3.0,SOFT,19,0.4048162538088783,0.43823924427774424,False
2022,Spain,ALO,4.0,SOFT,10,0.33489058556325224,0.22580176664311843,True
2022,Spain,BOT,1.0,SOFT,10,0.3741844538812965,0.46787879620064804,False
2022,Spain,BOT,2.0,MEDIUM,15,0.181865268813698,0.18965350922310825,False
2022,Spain,BOT,3.0,MEDIUM,28,0.4930873666315943,0.5213312184778065,False
2022,Spain,GAS,2.0,MEDIUM,14,0.3599174341430525,0.4076291679956731,False
2022,Spain,GAS,3.0,SOFT,13,0.13297638199890185,0.14912159027544225,False
2022,Spain,GAS,4.0,SOFT,18,0.7482494470733217,0.7914963023020235,False
2022,Spain,HAM,2.0,SOFT,17,0.457043212072708,0.5100278911405632,False
2022,Spain,HAM,3.0,MEDIUM,23,0.3985200043769076,0.3461820125223189,True
2022,Spain,HAM,4.0,SOFT,15,0.9313456765048657,0.8186975608823744,True
2022,Spain,LAT,2.0,MEDIUM,11,0.5492484505653165,0.6580986575801938,False
2022,Spain,LAT,3.0,SOFT,20,0.5603590190947902,0.5421585600042297,True
2022,Spain,LAT,4.0,SOFT,13,1.05640800802198,1.130266337974821,False
2022,Spain,LEC,1.0,SOFT,16,0.39609863177607607,0.3797423862935956,True
2022,Spain,MAG,2.0,MEDIUM,20,0.47299053544465974,0.4996376795830345,False
2022,Spain,MAG,3.0,HARD,32,0.9562943587507226,0.9855410240182204,False
2022,Spain,MSC,2.0,SOFT,16,0.32738357437884474,0.35852505847393745,False
2022,Spain,MSC,3.0,MEDIUM,31,0.5080016981708994,0.5294896755341338,False
2022,Spain,NOR,2.0,MEDIUM,18,0.31010799311670084,0.3148665489973505,False
2022,Spain,NOR,3.0,SOFT,16,0.6234435472425166,0.5082236493620307,True
2022,Spain,NOR,4.0,SOFT,14,0.4079350659253273,0.46071125778041094,False
2022,Spain,OCO,2.0,MEDIUM,18,0.3078426374480725,0.26751876017644777,True
2022,Spain,OCO,3.0,SOFT,15,0.3542964469863026,0.3635795789248734,False
2022,Spain,OCO,4.0,SOFT,13,0.2384562370998878,0.25707895020632865,False
2022,Spain,PER,1.0,SOFT,13,0.6101788249836569,0.49472501687452863,True
2022,Spain,PER,2.0,MEDIUM,17,0.37346569498924165,0.3174459671682356,True
2022,Spain,PER,3.0,MEDIUM,11,0.22650298533878943,0.18636639836020072,True
2022,Spain,PER,4.0,SOFT,11,0.24077076904071343,0.26322146606350827,False
2022,Spain,RIC,2.0,SOFT,15,0.2014679664474075,0.22218230007559664,False
2022,Spain,RIC,3.0,MEDIUM,14,0.15497193282734362,0.1583891277404438,False
2022,Spain,RIC,4.0,SOFT,16,0.5908306044110255,0.6288533307513516,False
2022,Spain,RUS,2.0,MEDIUM,20,0.41013098931065534,0.4225878210979602,False
2022,Spain,RUS,3.0,MEDIUM,12,0.43711125892836716,0.4431911483442112,False
2022,Spain,RUS,4.0,SOFT,13,0.4471006018041241,0.5550553282439111,False
2022,Spain,SAI,2.0,MEDIUM,18,0.4742662080672204,0.52174050059666,False
2022,Spain,SAI,3.0,MEDIUM,11,0.20650792677315755,0.22671875981807382,False
2022,Spain,SAI,4.0,SOFT,20,0.47134281945245343,0.4817402091225466,False
2022,Spain,STR,2.0,SOFT,11,0.38944055894761065,0.44713687100808025,False
2022,Spain,STR,3.0,MEDIUM,13,0.5198264011731227,0.29670021824271964,True
2022,Spain,STR,4.0,SOFT,16,0.7082691312939656,0.6813078632451584,True
2022,Spain,TSU,2.0,MEDIUM,17,0.2244871800872082,0.17900208338758536,True
2022,Spain,TSU,3.0,SOFT,17,0.27646552974269434,0.2735442390399539,True
2022,Spain,TSU,4.0,SOFT,11,0.3523708512167637,0.3049815215714361,True
2022,Spain,VER,2.0,MEDIUM,11,0.22443084182445822,0.24267137992618043,False
2022,Spain,VER,3.0,SOFT,14,0.4137462143463116,0.4535570600471266,False
2022,Spain,VER,4.0,MEDIUM,18,0.23979763522883835,0.25581207111202614,False
2022,Spain,VET,1.0,SOFT,16,0.4399847505478985,0.4886346218465346,False
2022,Spain,VET,2.0,SOFT,18,0.53914452133629,0.5529552962021999,False
2022,Spain,VET,3.0,MEDIUM,18,0.3071290816808095,0.3061044451055887,True
2022,Spain,ZHO,2.0,MEDIUM,15,0.3414215366109206,0.36438832472421373,False
2022,United States,ALB,3.0,HARD,31,0.6975281908266281,0.5179014455102242,True
2022,United States,ALO,1.0,HARD,14,0.2724983939353002,0.2704232750998331,True
2022,United States,ALO,3.0,HARD,30,0.5257446257653686,0.4471226999517125,True
2022,United States,GAS,2.0,HARD,10,0.47954995836909214,0.42057212644792386,True
